Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2005,1,1,0,30,0,0,100,8,1010
2005,1,1,1,30,0,0,100,7,1010
2005,1,1,2,30,0,0,100,7,1010
2005,1,1,3,30,0,0,100,7,1010
2005,1,1,4,30,0,0,100,6,1010
2005,1,1,5,30,0,0,100,6,1010
2005,1,1,6,30,0,1,93.1,7,1010
2005,1,1,7,30,530,0,84.08,9,1010
2005,1,1,8,30,772,0,70.74,12,1010
2005,1,1,9,30,876,0,54.51,14,1010
2005,1,1,10,30,913,0,45.4,16,1010
2005,1,1,11,30,931,0,39.61,17,1010
2005,1,1,12,30,926,0,35.67,18,1010
2005,1,1,13,30,881,0,34.86,18,1010
2005,1,1,14,30,809,0,37.04,17,1010
2005,1,1,15,30,654,0,49.75,14,1010
2005,1,1,16,30,228,0,60.75,11,1010
2005,1,1,17,30,0,0,60.33,11,1010
2005,1,1,18,30,0,0,57.7,11,1010
2005,1,1,19,30,0,0,55.84,10,1010
2005,1,1,20,30,0,0,59.58,9,1010
2005,1,1,21,30,0,7,68.96,8,1010
2005,1,1,22,30,0,7,70.14,7,1010
2005,1,1,23,30,0,7,76.76,7,1010
2005,1,2,0,30,0,7,78.25,7,1010
2005,1,2,1,30,0,7,79.16,7,1010
2005,1,2,2,30,0,4,79.59,7,1010
2005,1,2,3,30,0,0,80.16,7,1010
2005,1,2,4,30,0,0,80.81,6,1010
2005,1,2,5,30,0,7,81.39,6,1010
2005,1,2,6,30,0,7,81.97,7,1010
2005,1,2,7,30,128,7,74.56,9,1010
2005,1,2,8,30,365,7,66.34,11,1010
2005,1,2,9,30,520,8,58.02,13,1010
2005,1,2,10,30,682,7,51.73,14,1010
2005,1,2,11,30,458,7,46.67,15,1010
2005,1,2,12,30,551,8,43.63,16,1010
2005,1,2,13,30,496,8,40.87,16,1010
2005,1,2,14,30,200,8,43.97,16,1010
2005,1,2,15,30,499,8,57.78,14,1010
2005,1,2,16,30,0,7,65.32,11,1010
2005,1,2,17,30,0,7,72.84,10,1010
2005,1,2,18,30,0,7,74.6,9,1010
2005,1,2,19,30,0,7,81.47,9,1010
2005,1,2,20,30,0,7,82.24,9,1010
2005,1,2,21,30,0,7,82.39,9,1010
2005,1,2,22,30,0,4,82.31,8,1010
2005,1,2,23,30,0,7,87.88,8,1010
2005,1,3,0,30,0,4,88.06,8,1010
2005,1,3,1,30,0,4,88.6,7,1010
2005,1,3,2,30,0,4,89.95,7,1010
2005,1,3,3,30,0,4,92.65,7,1010
2005,1,3,4,30,0,7,96.17,8,1010
2005,1,3,5,30,0,6,99.35,8,1010
2005,1,3,6,30,0,6,95.44,8,1010
2005,1,3,7,30,23,6,93.54,9,1010
2005,1,3,8,30,643,1,90.32,11,1010
2005,1,3,9,30,30,2,83.27,13,1010
2005,1,3,10,30,22,8,77.11,14,1010
2005,1,3,11,30,29,8,74.45,15,1000
2005,1,3,12,30,0,6,69.51,16,1000
2005,1,3,13,30,55,3,73.71,16,1000
2005,1,3,14,30,30,4,79.14,15,1000
2005,1,3,15,30,592,0,89.93,14,1000
2005,1,3,16,30,196,1,96.26,12,1000
2005,1,3,17,30,0,0,97.85,11,1000
2005,1,3,18,30,0,4,100,10,1000
2005,1,3,19,30,0,6,100,10,1000
2005,1,3,20,30,0,7,99.96,10,1000
2005,1,3,21,30,0,7,98.1,10,1000
2005,1,3,22,30,0,7,98.26,10,1000
2005,1,3,23,30,0,7,98.25,9,1000
2005,1,4,0,30,0,6,100,9,1000
2005,1,4,1,30,0,7,99.73,8,1000
2005,1,4,2,30,0,7,100,8,1000
2005,1,4,3,30,0,4,100,7,1000
2005,1,4,4,30,0,7,100,7,1000
2005,1,4,5,30,0,7,100,7,1000
2005,1,4,6,30,0,6,100,7,1000
2005,1,4,7,30,0,6,94.07,9,1000
2005,1,4,8,30,107,7,89.87,10,1000
2005,1,4,9,30,374,7,81.71,11,1000
2005,1,4,10,30,919,1,72.2,12,1000
2005,1,4,11,30,391,8,64.09,13,1000
2005,1,4,12,30,117,6,57.11,14,1000
2005,1,4,13,30,29,6,56.04,13,1000
2005,1,4,14,30,281,8,60.97,12,1000
2005,1,4,15,30,660,1,73.11,11,1000
2005,1,4,16,30,265,0,86.59,9,1000
2005,1,4,17,30,0,0,85.77,8,1010
2005,1,4,18,30,0,0,90.79,8,1010
2005,1,4,19,30,0,0,95.65,7,1010
2005,1,4,20,30,0,0,94.43,6,1010
2005,1,4,21,30,0,0,99.98,6,1010
2005,1,4,22,30,0,0,99.11,6,1010
2005,1,4,23,30,0,0,98.51,6,1010
2005,1,5,0,30,0,0,97.82,6,1010
2005,1,5,1,30,0,0,97.14,6,1010
2005,1,5,2,30,0,0,96.64,6,1010
2005,1,5,3,30,0,0,95.87,6,1010
2005,1,5,4,30,0,1,95.23,6,1010
2005,1,5,5,30,0,0,94.75,6,1010
2005,1,5,6,30,0,1,94.12,6,1020
2005,1,5,7,30,59,4,85.54,8,1020
2005,1,5,8,30,739,0,73.91,11,1020
2005,1,5,9,30,846,0,61.85,13,1020
2005,1,5,10,30,895,0,50.18,14,1020
2005,1,5,11,30,917,0,44.44,15,1020
2005,1,5,12,30,915,0,43.2,16,1020
2005,1,5,13,30,865,0,42.62,16,1010
2005,1,5,14,30,517,7,45.71,15,1010
2005,1,5,15,30,636,0,57.64,13,1010
2005,1,5,16,30,255,0,69.24,10,1010
2005,1,5,17,30,0,7,68.09,10,1010
2005,1,5,18,30,0,7,66.48,9,1020
2005,1,5,19,30,0,0,69.64,9,1020
2005,1,5,20,30,0,0,68.73,9,1020
2005,1,5,21,30,0,0,73.46,8,1020
2005,1,5,22,30,0,0,78.59,7,1020
2005,1,5,23,30,0,0,79,7,1010
2005,1,6,0,30,0,0,85.16,6,1010
2005,1,6,1,30,0,7,91.69,5,1010
2005,1,6,2,30,0,1,92.1,5,1010
2005,1,6,3,30,0,0,92.88,5,1010
2005,1,6,4,30,0,0,93.79,4,1010
2005,1,6,5,30,0,0,100,4,1010
2005,1,6,6,30,0,1,93.69,5,1010
2005,1,6,7,30,443,0,83.01,7,1010
2005,1,6,8,30,344,3,67.66,10,1010
2005,1,6,9,30,808,0,57.72,12,1010
2005,1,6,10,30,842,1,52.54,13,1010
2005,1,6,11,30,871,0,48.93,14,1010
2005,1,6,12,30,305,2,46.15,15,1010
2005,1,6,13,30,182,8,46.5,15,1010
2005,1,6,14,30,105,4,50.44,14,1010
2005,1,6,15,30,108,4,61.8,12,1010
2005,1,6,16,30,171,0,68.73,10,1010
2005,1,6,17,30,0,0,64.58,10,1010
2005,1,6,18,30,0,0,63.28,10,1010
2005,1,6,19,30,0,4,66.93,10,1010
2005,1,6,20,30,0,7,71.77,9,1010
2005,1,6,21,30,0,7,77.85,8,1010
2005,1,6,22,30,0,7,79.24,8,1010
2005,1,6,23,30,0,6,80.32,8,1010
2005,1,7,0,30,0,7,80.96,8,1010
2005,1,7,1,30,0,7,81.04,7,1010
2005,1,7,2,30,0,6,86.17,7,1010
2005,1,7,3,30,0,7,85.14,6,1010
2005,1,7,4,30,0,7,89.81,6,1010
2005,1,7,5,30,0,6,94.45,5,1010
2005,1,7,6,30,0,7,86.39,5,1010
2005,1,7,7,30,0,7,77.32,7,1010
2005,1,7,8,30,630,1,68.94,10,1010
2005,1,7,9,30,764,0,57.32,12,1010
2005,1,7,10,30,41,4,51.82,15,1010
2005,1,7,11,30,191,3,48.04,17,1000
2005,1,7,12,30,0,6,47.6,18,1000
2005,1,7,13,30,0,7,52.99,17,1000
2005,1,7,14,30,0,4,58.18,16,1000
2005,1,7,15,30,95,4,68.58,14,1000
2005,1,7,16,30,290,4,79.17,12,1000
2005,1,7,17,30,0,1,84.56,11,1010
